故障件名称,飞行显示器,故障元器件,氧化膜电阻器,故障件所属系统,航电系统,故障件所属武器,P-51A,设备故障模式,显示器黑屏,元器件故障,物理损伤,,,,,,,,
故障件名称,自动驾驶仪,故障元器件,碳膜电阻器,故障件所属系统,飞行控制系统,故障件所属武器,米格-25战斗机,设备故障模式,计算机失效,元器件故障,物理损伤,,,,,,,,
故障件名称,飞控计算机,故障元器件,肖特基二极管,故障件所属系统,飞行控制系统,故障件所属武器,狂风战斗机,设备故障模式,显示器黑屏,元器件故障,静电击穿,,,,,,,,
故障件名称,火控计算机,故障元器件,谐振器,故障件所属系统,武器系统,故障件所属武器,F-1战斗机,设备故障模式,控制器开路,元器件故障,物理损伤,,,,,,,,
故障件名称,外挂管理机,故障元器件,可编程振荡器,故障件所属系统,武器系统,故障件所属武器,马丁BM,设备故障模式,计算机失效,元器件故障,物理损伤,,,,,,,,
故障件名称,大气机,故障元器件,片式膜电阻器,故障件所属系统,飞行控制系统,故障件所属武器,图-119轰炸机,设备故障模式,控制器开路,元器件故障,物理损伤,,,,,,,,
故障件名称,发电机控制器,故障元器件,普通双极型晶体管,故障件所属系统,航电系统,故障件所属武器,X-15试验机,设备故障模式,计算机失效,元器件故障,物理损伤,,,,,,,,
故障件名称,飞行管理计算机,故障元器件,射频同轴电连接器,故障件所属系统,数管系统,故障件所属武器,空中客车A330,设备故障模式,数据丢失,元器件故障,物理损伤,,,,,,,,
故障件名称,数据处理计算机,故障元器件,可编程振荡器,故障件所属系统,数管系统,故障件所属武器,苏-27战斗机,设备故障模式,控制器开路,元器件故障,物理损伤,,,,,,,,
故障件名称,外挂管理机,故障元器件,片式膜电阻器,故障件所属系统,武器系统,故障件所属武器,狂风战斗机,设备故障模式,计算机失效,元器件故障,静电击穿,,,,,,,,
故障件名称,大气机,故障元器件,普通双极型晶体管,故障件所属系统,武器系统,故障件所属武器,F-1战斗机,设备故障模式,计算机失效,元器件故障,静电击穿,,,,,,,,
故障件名称,飞行显示器,故障元器件,氧化膜电阻器,故障件所属系统,航电系统,故障件所属武器,马丁BM,设备故障模式,显示器黑屏,元器件故障,静电击穿,,,,,,,,
故障件名称,自动驾驶仪,故障元器件,碳膜电阻器,故障件所属系统,飞行控制系统,故障件所属武器,X-15试验机,设备故障模式,导航偏差,元器件故障,静电击穿,,,,,,,,
故障件名称,调光显示计算机,故障元器件,肖特基二极管,故障件所属系统,航电系统,故障件所属武器,空中客车A330,设备故障模式,计算机失效,元器件故障,静电击穿,,,,,,,,
故障件名称,发电机控制器,故障元器件,氧化膜电阻器,故障件所属系统,航电系统,故障件所属武器,苏-27战斗机,设备故障模式,控制器开路,元器件故障,静电击穿,,,,,,,,
故障件名称,飞行管理计算机,故障元器件,碳膜电阻器,故障件所属系统,数管系统,故障件所属武器,P-51A,设备故障模式,计算机失效,元器件故障,物理损伤,,,,,,,,
型号,F-35,主机厂,美国洛克希德·马丁公司,部件厂,霍尼韦尔,元器件厂,sei,元器件,碳膜电阻器,元器件故障,过流烧毁,,,,,,,,
型号,F-16,主机厂,美国洛克希德·马丁公司,部件厂,诺斯洛普·格鲁曼公司,元器件厂,silabs,元器件,可编程振荡器,元器件故障,焊点脱落,,,,,,,,
型号,阵风战斗机,主机厂,法国达索公司,部件厂,汤姆逊-CSF公司,元器件厂,silabs,元器件,可编程振荡器,元器件故障,焊点脱落,,,,,,,,
型号,台风战斗机,主机厂,欧洲战斗机公司,部件厂,罗尔斯·罗伊斯公司,元器件厂,sii,元器件,稳压器,元器件故障,物理损伤,,,,,,,,
型号,F-35,系统,飞行控制系统,部件,自动驾驶仪,元器件,普通双极型晶体管,元器件故障,静电击穿,,,,,,,,,,
型号,F-16,系统,航空电子与计算机系统,部件,机载雷达,元器件,FPGA,元器件故障,静电击穿,,,,,,,,,,
型号,阵风战斗机,系统,航空电子与计算机系统,部件,机载雷达,元器件,低噪声单片放大器,元器件故障,过电流烧毁,,,,,,,,,,
型号,台风战斗机,系统,航空发动机系统,部件,航空发动机,元器件,介质滤波器,元器件故障,焊点脱落,,,,,,,,,,
型号,F-35,主管单位,空装机关,处理措施,故障归零会议,型号故障,显示故障,故障系统,飞行控制系统,故障发生时间,2019,故障部件,自动驾驶仪,部件故障,参数计算错误,故障元器件,碳膜电阻器,元器件故障,过流烧毁
型号,F-16,主管单位,空装机关2,处理措施,故障归零会议,型号故障,雷达故障,故障系统,航空电子与计算机系统,故障发生时间,2017,故障部件,雷达功率模块,部件故障,模块功率远低于标准值,故障元器件,MOS功率管,元器件故障,过流烧毁
型号,阵风战斗机,主管单位,空装机关3,处理措施,故障分析会议,型号故障,应答故障,故障系统,敌我识别系统,故障发生时间,2018,故障部件,A模式应答机,部件故障,接收不到询问信号,故障元器件,电源模块,元器件故障,焊点脱落
型号,台风战斗机,主管单位,空装机关4,处理措施,故障分析会议,型号故障,视频记录故障,故障系统,显示控制和记录系统,故障发生时间,2019,故障部件,视频记录仪,部件故障,记录仪黑屏,故障元器件,电源模块,元器件故障,物理损伤
型号,F-35,系统,飞行控制系统,部件,自动驾驶仪,试验类型,可靠性试验,试验厂所,西谷公司,试验项,筛选,故障元器件,碳膜电阻器,元器件故障,过流烧毁,,,,
型号,F-16,系统,敌我识别系统,部件,A模式应答机,试验类型,可靠性试验,试验厂所,广5所,试验项,寿命试验,故障元器件,电源模块,元器件故障,焊点脱落,,,,
型号,阵风战斗机,系统,航空机电系统,部件,低压直流电源,试验类型,可靠性试验,试验厂所,电子4院,试验项,环境适应性,故障元器件,集成稳压器,元器件故障,物理损伤,,,,
型号,台风战斗机,系统,机载武器系统,部件,火控计算机,试验类型,可靠性试验,试验厂所,北航试验中心,试验项,筛选,故障元器件,MOS管,元器件故障,过流烧毁,,,,
型号,F-35,系统,飞行控制系统,部件,自动驾驶仪,试验类型,失效分析,试验厂所,广5所,试验项,电子显微镜检查,故障元器件,碳膜电阻器,元器件故障,过流烧毁,,,,
型号,F-16,系统,导航系统,部件,B频段卫星通信加装惯导设备,试验类型,失效分析,试验厂所,海军701厂,试验项,X射线检查,故障元器件,石英晶体振荡器,元器件故障,物理损伤,,,,
型号,阵风战斗机,系统,飞行控制系统,部件,控制盒,试验类型,失效分析,试验厂所,航天703所,试验项,SEM检查,故障元器件,三极管,元器件故障,器件短路,,,,
型号,台风战斗机,系统,敌我识别系统,部件,Z模式询问器,试验类型,失效分析,试验厂所,电子4院,试验项,声扫描显微镜检查,故障元器件,集成电路,元器件故障,塑封器件分层,,,,
型号,F-35,系统,飞行控制系统,部件,自动驾驶仪,使用方,NASA,使用环境,高温环境,故障元器件,碳膜电阻器,元器件故障,过流烧毁,,,,,,
型号,F-16,系统,航空机电系统,部件,低压直流电源,使用方,沙特军队,使用环境,高湿环境,故障元器件,普通双极型晶体管,元器件故障,受潮短路,,,,,,
型号,阵风战斗机,系统,航空电子与计算机系统,部件,机载雷达,使用方,法国军队,使用环境,海洋环境,故障元器件,集成电路,元器件故障,盐雾侵蚀断路,,,,,,
型号,台风战斗机,系统,导航系统,部件,光纤惯性组合导航模块,使用方,英国军队,使用环境,低温环境,故障元器件,电源模块,元器件故障,电压波动,,,,,,
元器件故障,过流烧毁,故障原因,使用不当,使用方,NASA,,,,,,,,,,,,,,
元器件故障,过流烧毁,故障原因,设计缺陷,元器件厂,sei,,,,,,,,,,,,,,
元器件故障,过流烧毁,故障原因,使用不当,使用方,沙特军队,,,,,,,,,,,,,,
元器件故障,过流烧毁,故障原因,设计缺陷,元器件厂,silabs,,,,,,,,,,,,,,
元器件故障,过流烧毁,故障原因,使用不当,使用方,法国军队,,,,,,,,,,,,,,
元器件故障,过流烧毁,故障原因,设计缺陷,元器件厂,silabs,,,,,,,,,,,,,,
元器件故障,过流烧毁,故障原因,使用不当,使用方,英国军队,,,,,,,,,,,,,,
元器件故障,过流烧毁,故障原因,设计缺陷,元器件厂,sii,,,,,,,,,,,,,,
